,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2381,Coimbatore,2018,38852,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,8.47
2382,Coimbatore,2018,68737,Diesel,Manual,First,26.21,1248.0,88.5,5.0,9.32
2383,Coimbatore,2017,23106,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,27.43
2384,Delhi,2015,31250,Diesel,Manual,First,24.5,1498.0,98.6,7.0,6.5
2385,Delhi,2014,77795,Diesel,Manual,First,12.99,2494.0,100.6,8.0,9.5
2386,Kochi,2015,47759,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,31.8
2387,Chennai,2013,67620,Petrol,Manual,Second,17.6,1496.0,88.8,5.0,4.2
2388,Kochi,2013,44378,Diesel,Manual,First,25.44,936.0,57.6,5.0,3.85
2389,Delhi,2012,64709,Petrol,Manual,Second,12.8,2354.0,177.6,5.0,6.0
2390,Hyderabad,2007,76161,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.65
2391,Bangalore,2013,58410,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,14.5
2392,Delhi,2011,72000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,7.1
2393,Chennai,2016,11000,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,28.0
2394,Kochi,2017,45362,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.38
2395,Kochi,2016,59767,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.78
2396,Chennai,2003,70000,Petrol,Manual,Second,13.4,1794.0,125.0,5.0,1.7
2397,Coimbatore,2019,14233,Diesel,Automatic,First,17.6,2179.0,153.86,7.0,17.85
2398,Pune,2010,72000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.75
2399,Mumbai,2014,11000,Petrol,Manual,First,17.01,1591.0,121.3,5.0,5.95
2400,Mumbai,2011,39000,Petrol,Manual,First,14.0,796.0,35.0,5.0,1.5
2401,Kochi,2019,19855,Petrol,Manual,First,24.7,796.0,47.3,5.0,3.8
2402,Bangalore,2017,20149,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,38.5
2403,Jaipur,2011,70000,Petrol,Manual,First,19.81,1086.0,68.05,5.0,2.15
2404,Mumbai,2010,62004,Petrol,Automatic,Second,14.67,1798.0,177.46,5.0,3.75
2405,Mumbai,2016,25500,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,8.95
2406,Hyderabad,2013,68800,Diesel,Manual,First,17.8,1248.0,74.0,5.0,5.0
2407,Pune,2010,61700,Petrol,Manual,First,14.8,1799.0,130.2,5.0,2.95
2408,Coimbatore,2010,59660,Petrol,Automatic,First,12.05,1995.0,154.0,5.0,10.49
2409,Hyderabad,2007,69775,Petrol,Manual,Second,17.92,1086.0,62.1,5.0,1.85
2410,Hyderabad,2016,51787,Diesel,Manual,First,17.8,1248.0,74.0,5.0,6.45
2411,Jaipur,2009,88000,Petrol,Automatic,First,11.1,2354.0,142.0,5.0,5.25
2412,Kolkata,2014,47052,Diesel,Manual,First,20.77,1248.0,88.76,7.0,5.99
2413,Kochi,2015,69749,Diesel,Manual,First,18.6,1388.0,67.0,5.0,3.82
2414,Hyderabad,2012,79000,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,39.0
2415,Coimbatore,2016,39644,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,25.75
2416,Hyderabad,2012,137800,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.2
2417,Chennai,2008,120000,Diesel,Manual,Second,18.1,1493.0,110.0,5.0,2.0
2418,Mumbai,2014,18600,Diesel,Automatic,Second,22.69,1995.0,190.0,5.0,21.0
2419,Ahmedabad,2014,116905,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.0
2420,Coimbatore,2011,32824,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.83
2421,Kochi,2016,19148,Petrol,Manual,First,16.1,1197.0,85.0,5.0,5.89
2422,Kolkata,2010,35008,Petrol,Manual,First,17.92,1086.0,62.1,5.0,1.36
2423,Delhi,2013,21000,Diesel,Automatic,Second,17.54,2993.0,313.0,4.0,44.0
2425,Bangalore,2016,36000,Petrol,Manual,First,17.43,1396.0,105.5,5.0,8.0
2426,Ahmedabad,2012,56121,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.25
2427,Pune,2018,30000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,6.0
2428,Kochi,2016,31021,Diesel,Automatic,First,19.5,1968.0,141.0,5.0,16.61
2429,Coimbatore,2013,52600,Diesel,Manual,First,19.6,1461.0,108.45,5.0,7.26
2430,Bangalore,2005,60000,Diesel,Manual,First,10.5,2179.0,120.0,8.0,4.0
2431,Ahmedabad,2016,44001,Diesel,Automatic,First,18.12,1995.0,190.0,5.0,34.51
2432,Chennai,2003,101000,Petrol,Manual,Third & Above,17.3,1061.0,64.0,5.0,0.95
2433,Hyderabad,2007,84169,Petrol,Manual,First,14.0,1061.0,64.0,5.0,2.2
2434,Mumbai,2017,14001,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.75
2435,Delhi,2016,59000,Diesel,Automatic,First,18.0,2993.0,255.0,7.0,36.75
2436,Hyderabad,2009,29000,Petrol,Automatic,Second,11.7,1796.0,178.0,5.0,10.0
2437,Mumbai,2012,38800,Diesel,Manual,First,21.64,1461.0,84.8,5.0,4.05
2438,Hyderabad,2011,98000,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,22.0
2439,Coimbatore,2017,20969,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,27.87
2440,Kolkata,2018,2900,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.75
2441,Hyderabad,2016,69000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.79
2442,Coimbatore,2018,5833,Diesel,Manual,First,21.13,1498.0,108.4,5.0,11.92
2443,Jaipur,2006,145000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.15
2444,Pune,2014,71000,Diesel,Manual,First,25.1,1498.0,98.6,5.0,7.45
2445,Jaipur,2017,12000,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.5
2446,Hyderabad,2013,58000,Diesel,Automatic,First,13.2,1995.0,170.0,5.0,19.5
2447,Pune,2012,39000,Petrol,Automatic,Second,12.05,1995.0,154.0,5.0,15.0
2448,Coimbatore,2017,37712,Diesel,Manual,First,17.45,1493.0,100.0,7.0,7.57
2449,Hyderabad,2012,68000,Petrol,Manual,First,18.5,1197.0,85.8,5.0,4.4
2450,Kolkata,2010,30000,Petrol,Manual,First,18.6,1199.0,79.4,5.0,1.6
2451,Pune,2014,68218,Petrol,Manual,First,19.1,1197.0,85.8,5.0,4.9
2452,Delhi,2014,52000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,5.95
2453,Coimbatore,2015,63591,Diesel,Manual,First,20.45,1461.0,83.8,5.0,5.35
2454,Hyderabad,2014,57937,Petrol,Automatic,First,15.5,1198.0,86.7,5.0,5.4
2455,Coimbatore,2015,21979,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.45
2456,Hyderabad,2002,99000,Diesel,Manual,Second,18.7,1896.0,66.0,5.0,1.9
2457,Pune,2016,62000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,6.1
2458,Mumbai,2006,127001,Diesel,Manual,First,12.8,2494.0,102.0,8.0,4.95
2459,Hyderabad,2013,84600,Petrol,Manual,Second,21.1,814.0,55.2,5.0,2.5
2460,Kochi,2018,30953,Petrol,Manual,First,22.7,799.0,53.64,5.0,3.48
2461,Chennai,2012,78000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.4
2462,Hyderabad,2008,85000,Diesel,Manual,First,9.5,2835.0,118.6,6.0,7.99
2463,Hyderabad,2008,79000,Diesel,Automatic,First,13.1,2400.0,215.0,5.0,10.99
2464,Delhi,2014,79000,Diesel,Automatic,First,12.55,2982.0,168.5,7.0,18.5
2465,Coimbatore,2018,48188,Diesel,Manual,First,16.3,1956.0,170.0,5.0,21.69
2466,Coimbatore,2014,67557,Diesel,Manual,First,23.4,1248.0,74.0,5.0,5.17
2467,Delhi,2011,103814,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.5
2468,Kolkata,2014,45128,Diesel,Manual,First,12.05,2179.0,120.0,8.0,6.75
2469,Kochi,2013,56075,Petrol,Manual,First,19.81,1086.0,68.05,5.0,3.12
2470,Hyderabad,2011,166000,Diesel,Manual,First,12.99,2494.0,100.6,8.0,8.25
2471,Coimbatore,2017,65367,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,20.14
2472,Hyderabad,2013,114708,Diesel,Manual,First,12.99,2494.0,100.0,8.0,12.6
2473,Kochi,2015,35082,Diesel,Manual,First,23.4,1248.0,74.0,5.0,6.61
2474,Kochi,2016,38593,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,13.23
2475,Mumbai,2008,70700,Diesel,Manual,First,12.99,2494.0,100.0,8.0,4.75
2476,Mumbai,2011,83000,Diesel,Manual,Second,20.54,1598.0,103.6,5.0,2.9
2478,Kochi,2014,91586,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,9.47
2479,Mumbai,2008,38235,Petrol,Manual,First,20.36,1197.0,78.9,5.0,1.95
2480,Kolkata,2011,37000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.2
2481,Bangalore,2013,44000,Petrol,Manual,Second,18.0,1198.0,86.7,5.0,4.35
2482,Pune,2016,54000,Petrol,Automatic,First,23.1,998.0,67.04,5.0,4.5
2483,Chennai,2013,90000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,3.55
2484,Kolkata,2015,35000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.75
2485,Coimbatore,2012,47324,Petrol,Manual,Second,20.36,1197.0,78.9,5.0,4.52
2486,Mumbai,2012,65148,Diesel,Automatic,First,15.06,1995.0,177.0,5.0,12.75
2487,Coimbatore,2014,57773,Diesel,Automatic,Second,17.11,1968.0,174.33,5.0,20.04
2488,Bangalore,2014,87000,Diesel,Manual,First,20.45,1461.0,83.8,5.0,6.5
2489,Chennai,2007,179032,Diesel,Manual,First,11.56,3200.0,199.3,7.0,7.5
2490,Mumbai,2016,8000,Petrol,Automatic,First,22.5,998.0,67.0,5.0,4.15
2491,Hyderabad,2007,77000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,2.5
2492,Pune,2016,20600,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.4
2493,Mumbai,2016,13198,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.15
2494,Delhi,2016,38000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,5.95
2495,Coimbatore,2019,15379,Petrol,Automatic,First,23.84,1199.0,83.83,5.0,6.97
2496,Hyderabad,2011,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.2
2497,Bangalore,2013,75371,Diesel,Manual,First,20.46,1461.0,83.8,5.0,6.69
2498,Bangalore,2014,60000,Diesel,Manual,Second,13.49,2179.0,138.03,5.0,5.9
2499,Kolkata,2009,30675,Petrol,Manual,First,18.5,1197.0,80.0,5.0,2.25
2500,Kolkata,2013,22000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.5
2501,Pune,2015,55000,Petrol,Manual,First,22.0,814.0,55.0,5.0,2.61
2502,Jaipur,2010,74213,Diesel,Automatic,First,14.84,2143.0,170.0,5.0,11.5
2503,Mumbai,2016,15000,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.0
2504,Jaipur,2010,57000,Petrol,Manual,First,26.0,624.0,35.0,4.0,0.5
2505,Kolkata,2015,62144,Diesel,Manual,Second,26.21,1248.0,88.5,5.0,5.75
2506,Pune,2017,50000,Diesel,Manual,First,22.0,1582.0,126.2,5.0,11.5
2507,Jaipur,2015,38000,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.75
2508,Chennai,2016,30000,Diesel,Automatic,Second,18.12,1995.0,190.0,5.0,31.5
2509,Kochi,2016,38735,Petrol,Manual,First,19.4,1198.0,86.8,5.0,4.92
2510,Pune,2012,23598,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.52
2511,Chennai,2014,70000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,17.55
2512,Pune,2016,39000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,5.8
2513,Hyderabad,2013,84175,Diesel,Manual,First,23.4,1248.0,74.0,5.0,6.95
2514,Kolkata,2013,45000,Petrol,Manual,First,16.95,1498.0,97.6,5.0,2.4
2515,Mumbai,2013,59302,Diesel,Automatic,First,14.39,1998.0,163.7,5.0,5.25
2516,Ahmedabad,2012,55002,Petrol,Manual,First,17.5,1298.0,85.8,5.0,4.25
2517,Jaipur,2008,128813,Diesel,Manual,First,19.09,1396.0,69.0,5.0,1.5
2518,Jaipur,2016,46522,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.5
2519,Pune,2014,180000,Diesel,Manual,First,22.3,1248.0,74.0,5.0,2.5
2520,Chennai,2006,89326,Diesel,Manual,Third & Above,17.8,1399.0,68.0,5.0,1.55
2521,Pune,2016,54000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,6.5
2522,Kochi,2015,66337,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.96
2523,Bangalore,2012,60000,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.25
2524,Kolkata,2010,38001,Petrol,Automatic,First,12.3,1781.0,163.2,5.0,8.5
2525,Bangalore,2014,73000,Petrol,Manual,Second,24.7,796.0,47.3,5.0,2.75
2526,Bangalore,2011,61000,Petrol,Manual,Second,16.2,1599.0,103.2,5.0,3.4
2527,Hyderabad,2013,120000,Diesel,Manual,First,20.77,1248.0,88.8,7.0,7.0
2528,Kochi,2012,71787,Petrol,Manual,First,12.9,1598.0,102.5,5.0,3.21
2529,Coimbatore,2016,11554,Diesel,Manual,First,19.67,1582.0,126.2,5.0,14.25
2530,Hyderabad,2014,90000,Diesel,Manual,First,20.34,1498.0,103.2,5.0,6.5
2531,Kolkata,2014,48104,Petrol,Manual,First,17.4,1497.0,117.3,5.0,5.49
2532,Pune,2005,91000,Petrol,Manual,Third & Above,16.8,1341.0,83.0,5.0,0.8
2533,Coimbatore,2015,33931,Petrol,Automatic,Second,18.9,1197.0,82.0,5.0,5.91
2534,Coimbatore,2019,13916,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.44
2536,Jaipur,2015,14000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.6
2537,Pune,2007,121000,Diesel,Manual,Second,17.8,1248.0,74.0,5.0,2.35
2538,Coimbatore,2016,17560,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.21
2539,Pune,2016,60000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,8.0
2540,Hyderabad,2009,88096,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,3.5
2541,Pune,2008,178280,Diesel,Manual,First,12.8,2494.0,102.0,8.0,5.9
2542,Coimbatore,2015,19963,Petrol,Manual,Second,25.4,624.0,37.5,4.0,1.74
2543,Mumbai,2019,1000,Petrol,Manual,First,18.12,1196.0,86.8,5.0,6.8
2544,Jaipur,2017,8000,Petrol,Manual,First,18.6,1197.0,81.83,5.0,7.5
2545,Pune,2016,9200,Petrol,Manual,First,15.4,1497.0,117.3,7.0,8.0
2546,Hyderabad,2015,29000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,5.99
2547,Mumbai,2017,27000,Diesel,Manual,First,19.67,1582.0,126.2,5.0,12.9
2548,Delhi,2018,22900,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.0
2549,Hyderabad,2014,50000,Diesel,Automatic,First,14.16,1968.0,174.3,5.0,35.0
2550,Jaipur,2015,60207,Diesel,Manual,First,25.8,1498.0,98.6,5.0,5.5
2551,Coimbatore,2010,101119,Diesel,Automatic,First,11.0,2993.0,235.0,5.0,18.46
2552,Jaipur,2010,42000,Petrol,Manual,First,15.6,1196.0,70.0,5.0,2.4
2553,Pune,2002,93000,Petrol,Manual,Third & Above,18.9,998.0,67.1,5.0,1.0
2554,Ahmedabad,2012,60000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.65
2555,Kochi,2015,66122,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,5.96
2556,Kochi,2017,24733,Petrol,Automatic,First,15.04,1991.0,183.0,5.0,27.15
2557,Ahmedabad,2008,41000,Petrol,Automatic,Second,10.4,2773.0,201.0,5.0,10.5
2558,Chennai,2015,30000,Petrol,Manual,First,20.73,1373.0,91.1,5.0,6.7
2559,Kolkata,2013,36000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.9
2560,Hyderabad,2017,40279,Diesel,Manual,First,16.5,1493.0,70.0,7.0,8.0
2561,Kochi,2018,46805,Petrol,Manual,First,24.07,998.0,67.1,5.0,3.63
2562,Mumbai,2015,60000,Petrol,Manual,First,17.5,1197.0,85.8,5.0,4.8
2563,Mumbai,2017,100000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.25
2564,Coimbatore,2018,51530,Diesel,Automatic,First,10.91,3198.0,197.2,7.0,30.27
2565,Jaipur,2013,81456,Diesel,Manual,First,15.8,2148.0,170.0,5.0,14.25
2566,Ahmedabad,2012,37229,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.41
2567,Delhi,2009,73200,Petrol,Manual,First,17.0,1497.0,118.0,5.0,2.78
2568,Ahmedabad,2015,71826,Diesel,Automatic,First,19.3,1968.0,141.0,5.0,15.5
2569,Chennai,2017,129000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,3.0
2570,Pune,2012,82000,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.3
2571,Kochi,2017,40459,Diesel,Manual,First,19.67,1582.0,126.2,5.0,13.28
2572,Hyderabad,2009,61964,Petrol,Manual,First,19.0,998.0,66.1,5.0,2.25
2573,Kochi,2011,15466,Petrol,Manual,First,22.5,998.0,67.04,5.0,3.36
2574,Kolkata,2014,23000,Petrol,Manual,First,17.3,1497.0,117.3,7.0,4.25
2575,Coimbatore,2012,43766,Petrol,Manual,First,20.36,1197.0,78.9,5.0,4.3
2576,Hyderabad,2010,54000,Petrol,Automatic,First,6.6,3597.0,262.6,5.0,6.0
2577,Coimbatore,2018,18521,Diesel,Manual,First,22.54,1396.0,88.73,5.0,9.18
2578,Hyderabad,2017,26400,Petrol,Manual,First,23.1,998.0,67.04,5.0,4.99
2579,Pune,2011,31900,Petrol,Manual,First,13.4,1798.0,157.8,5.0,3.75
2580,Chennai,2010,39000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.5
2581,Hyderabad,2016,45671,Diesel,Manual,First,27.3,1498.0,98.6,5.0,7.2
2582,Ahmedabad,2016,39500,Diesel,Automatic,First,15.0,2143.0,204.0,5.0,29.5
2583,Chennai,2015,54000,Diesel,Automatic,First,17.9,2143.0,136.0,5.0,17.55
2584,Chennai,2012,20000,Diesel,Automatic,First,18.5,1985.0,163.0,5.0,12.0
2585,Bangalore,2009,55000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,13.5
2586,Kolkata,2014,48000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.1
2587,Kolkata,2011,70000,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,10.3
2588,Delhi,2014,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,5.7
2589,Kochi,2014,41994,Petrol,Manual,First,22.5,998.0,67.04,5.0,3.41
2590,Hyderabad,2010,108882,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.4
2591,Coimbatore,2017,24806,Petrol,Manual,First,18.15,1198.0,82.0,6.0,5.6
2592,Pune,2006,160000,Diesel,Manual,First,17.0,1405.0,70.0,5.0,1.0
2593,Hyderabad,2017,30000,Diesel,Automatic,First,18.49,1493.0,100.0,7.0,8.2
2594,Bangalore,2015,51000,Diesel,Automatic,First,15.17,1968.0,181.0,5.0,27.5
2595,Jaipur,2015,64876,Petrol,Manual,First,21.5,1197.0,81.8,5.0,3.5
2597,Coimbatore,2017,25299,Diesel,Manual,First,24.3,1248.0,88.5,5.0,10.34
2598,Mumbai,2006,89869,Diesel,Manual,First,12.7,2609.0,116.6,8.0,3.25
2599,Jaipur,2007,103515,Diesel,Manual,Third & Above,12.6,1991.0,112.0,7.0,5.0
2600,Hyderabad,2008,68282,Petrol,Manual,First,17.92,1086.0,62.1,5.0,2.25
2601,Kochi,2018,51921,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.62
2602,Mumbai,2017,18414,Diesel,Manual,First,23.4,1248.0,74.0,5.0,7.25
2603,Kochi,2016,40866,Petrol,Manual,First,19.5,1199.0,86.76,5.0,5.47
2604,Pune,2014,55001,Diesel,Automatic,First,16.36,2179.0,187.7,5.0,31.0
2605,Kochi,2017,20469,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.98
2606,Jaipur,2017,8500,Petrol,Manual,First,21.1,814.0,55.2,5.0,3.42
2607,Ahmedabad,2008,45000,Diesel,Automatic,Second,16.77,2967.0,241.38,5.0,11.5
2608,Pune,2016,6000,Petrol,Manual,First,17.19,1197.0,81.86,5.0,7.25
2609,Chennai,2018,11000,Diesel,Manual,First,28.4,1248.0,74.0,5.0,8.0
2610,Kochi,2015,80064,Diesel,Manual,First,22.7,1498.0,89.84,5.0,7.33
2611,Kolkata,2016,29930,Petrol,Manual,First,18.9,998.0,67.1,5.0,3.35
2612,Mumbai,2013,49105,Diesel,Manual,First,20.34,1498.0,103.2,5.0,4.4
2613,Kolkata,2012,55000,Petrol,Manual,First,17.6,1496.0,88.7,5.0,2.99
2614,Bangalore,2015,23000,Petrol,Manual,First,18.7,1199.0,88.7,5.0,5.6
2615,Coimbatore,2016,54727,Diesel,Manual,First,20.14,1498.0,88.73,5.0,6.63
2616,Kochi,2018,31426,Diesel,Manual,First,21.66,1498.0,108.62,5.0,7.9
2617,Kochi,2015,53442,Petrol,Manual,First,16.8,1497.0,116.3,5.0,7.0
2618,Hyderabad,2014,28000,Petrol,Automatic,First,16.5,1198.0,86.8,5.0,4.95
2619,Mumbai,2017,13412,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,9.19
2620,Hyderabad,2011,70000,Diesel,Manual,First,16.8,1493.0,110.0,5.0,5.1
2621,Jaipur,2015,81310,Diesel,Manual,First,21.19,1396.0,88.76,5.0,5.9
2622,Kochi,2019,13574,Petrol,Automatic,First,21.4,1197.0,83.1,5.0,9.51
2623,Mumbai,2008,75000,Petrol,Manual,Second,11.1,2354.0,158.8,5.0,3.9
2624,Coimbatore,2014,58310,Petrol,Manual,Second,19.1,1197.0,85.8,5.0,5.39
2625,Pune,2009,90000,Diesel,Manual,Second,19.3,1248.0,73.9,5.0,3.0
2626,Jaipur,2012,83000,Diesel,Manual,First,23.4,1248.0,74.0,5.0,4.3
2627,Jaipur,2017,37282,Petrol,Manual,First,20.85,1197.0,83.14,5.0,6.75
2628,Jaipur,2017,23000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,4.5
2629,Chennai,2010,82000,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.75
2630,Chennai,2016,31000,Diesel,Manual,First,23.9,1582.0,126.2,5.0,9.0
2631,Delhi,2014,45001,Diesel,Manual,Second,20.0,1399.0,68.05,5.0,2.55
2632,Coimbatore,2014,50446,Diesel,Manual,First,21.12,1248.0,88.8,5.0,3.54
2633,Ahmedabad,2009,89000,Petrol,Manual,First,13.5,1799.0,130.0,5.0,4.25
2634,Ahmedabad,2007,72000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.2
2635,Ahmedabad,2013,90000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,19.5
2636,Bangalore,2015,76000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,12.0
2637,Hyderabad,2012,78401,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.9
2638,Kochi,2017,38426,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.13
2639,Pune,2011,45000,Petrol,Manual,First,15.1,1196.0,73.0,7.0,2.25
2640,Mumbai,2012,83000,Petrol,Manual,First,17.5,1197.0,85.8,5.0,3.25
2641,Coimbatore,2017,50170,Diesel,Automatic,First,17.01,1582.0,126.2,5.0,14.79
2642,Mumbai,2010,37822,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.35
2643,Kolkata,2015,33517,Diesel,Manual,First,27.62,793.0,47.0,5.0,3.1
2644,Delhi,2014,110000,Diesel,Automatic,First,13.01,2199.0,194.3,7.0,12.9
2645,Kolkata,2017,60000,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.5
2646,Delhi,2013,92408,Petrol,Manual,First,18.5,1197.0,82.85,5.0,3.65
2647,Bangalore,2014,45000,Petrol,Manual,First,17.1,1591.0,121.3,5.0,7.5
2648,Kochi,2013,33793,Petrol,Manual,First,18.4,1198.0,86.8,5.0,3.74
2649,Kochi,2017,26327,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5.86
2650,Coimbatore,2018,20604,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.62
2651,Coimbatore,2018,61386,Diesel,Manual,First,25.2,1248.0,74.0,5.0,7.05
2652,Delhi,2018,11500,Diesel,Automatic,First,28.4,1248.0,74.0,5.0,7.5
2653,Chennai,2012,58000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.1
2654,Delhi,2014,38000,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,11.6
2655,Bangalore,2012,49000,Diesel,Automatic,Second,14.84,2143.0,167.62,5.0,19.25
2656,Coimbatore,2017,72202,Diesel,Manual,First,13.68,2393.0,147.8,8.0,17.92
2657,Kolkata,2016,7000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.6
2658,Ahmedabad,2014,20000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,4.5
2659,Hyderabad,2017,14061,Diesel,Manual,First,21.9,1396.0,88.76,5.0,7.4
2660,Kolkata,2011,51387,Diesel,Manual,First,12.05,2179.0,120.0,7.0,5.5
2661,Bangalore,2006,44000,Petrol,Manual,Second,15.3,1341.0,83.0,5.0,1.75
2662,Mumbai,2016,12208,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.75
2663,Chennai,2011,55000,Diesel,Manual,First,16.52,1991.0,123.7,5.0,3.95
2664,Mumbai,2011,61600,Petrol,Manual,First,17.1,1591.0,121.3,5.0,4.2
2665,Hyderabad,2016,28414,Petrol,Manual,First,17.0,1497.0,118.0,5.0,8.4
2666,Mumbai,2017,27853,Petrol,Automatic,First,17.21,1197.0,103.5,5.0,8.25
2667,Bangalore,2013,55116,Petrol,Manual,First,19.4,1198.0,86.8,5.0,3.31
2668,Ahmedabad,2017,26000,Diesel,Manual,First,26.59,1248.0,74.0,5.0,7.5
2669,Pune,2012,45496,Petrol,Manual,First,17.0,1497.0,118.0,5.0,4.75
2670,Pune,2013,76000,Diesel,Automatic,Second,11.18,2696.0,184.0,7.0,8.79
2671,Pune,2014,136000,Petrol,Manual,First,13.1,1798.0,157.75,5.0,9.5
2672,Kolkata,2010,38127,Petrol,Manual,First,19.7,796.0,46.3,5.0,1.55
2673,Jaipur,2014,82450,Diesel,Manual,First,23.0,1396.0,90.0,5.0,5.85
2674,Coimbatore,2014,62497,Petrol,Manual,First,15.8,1499.0,110.0,5.0,7.52
2675,Hyderabad,2011,86732,Diesel,Manual,First,23.08,1461.0,63.1,5.0,3.6
2676,Kochi,2016,27969,Petrol,Manual,First,19.4,1198.0,86.8,5.0,4.73
2677,Delhi,2013,66372,Diesel,Automatic,First,11.18,2696.0,184.0,7.0,10.5
2678,Coimbatore,2013,73525,Diesel,Automatic,First,16.46,2993.0,258.0,5.0,34.54
